id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,4,"(12, 15, 15, 12)",tanh,25,adam,0.001,constant,86,3.988047699064758,4.218133021037115,4.8983428757549365
1,4,"(12, 15, 15, 12)",tanh,50,adam,0.001,constant,126,3.974707649869834,4.274026219411365,4.734973471134134
2,4,"(12, 15, 15, 12)",tanh,100,adam,0.001,constant,200,3.98559020800513,4.230096130163991,4.699525411136419
3,4,"(12, 15, 15, 12)",tanh,200,adam,0.001,constant,200,4.226485078691065,4.131544347317039,4.998145220651188
