id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,1,30,relu,0.0001,50,0.001,18,0.9996438674986456,0.9992977774656788,0.999403110845827
1,1,60,relu,0.0001,50,0.001,23,0.9998043779217913,0.9993328885923949,0.9993679997191109
2,1,90,relu,0.0001,50,0.001,26,0.9998194257739612,0.9993679997191109,0.9992626663389628
3,1,30,relu,0.0001,100,0.001,23,0.9996789791537088,0.9991573329588147,0.9993679997191109
4,1,60,relu,0.0001,100,0.001,28,0.9997843141188981,0.9993679997191109,0.9992451107756047
5,1,90,relu,0.0001,100,0.001,37,0.9997642503160049,0.9991924440855307,0.9992451107756047
6,1,30,tanh,0.0001,50,0.001,20,0.9997542184145582,0.9995084442259752,0.999420666409185
7,1,60,tanh,0.0001,50,0.001,25,0.9998194257739612,0.9995084442259752,0.9994908886626171
8,1,90,tanh,0.0001,50,0.001,22,0.9997893300696215,0.999403110845827,0.999420666409185
9,1,30,tanh,0.0001,100,0.001,27,0.9998093938725146,0.9994382219725431,0.9995435553526912
10,1,60,tanh,0.0001,100,0.001,30,0.9998344736261311,0.9995435553526912,0.9994733330992591
11,1,90,tanh,0.0001,100,0.001,37,0.9998595533797476,0.9993679997191109,0.9992275552122467
id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,2,"(60, 30)",relu,0.0001,50,0.001,24,0.9998394895768544,0.9992626663389628,0.999403110845827
1,3,"(90, 60, 30)",relu,0.0001,50,0.001,36,0.9997191067594952,0.999403110845827,0.9993153330290369
2,4,"(90, 60, 30, 20)",relu,0.0001,50,0.001,27,0.9997843141188981,0.9995435553526912,0.999420666409185
id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,2,"(60, 30)",tanh,0.0001,100,0.001,32,0.9998645693304709,0.9992977774656788,0.9993328885923949
1,3,"(60, 30, 20)",tanh,0.0001,100,0.001,36,0.9998394895768544,0.9994733330992591,0.9994382219725431
2,4,"(60, 30, 20, 10)",tanh,0.0001,100,0.001,44,0.9998896490840874,0.9995084442259752,0.9994733330992591
3,4,"(32, 18, 6, 2)",tanh,0.0001,100,0.001,46,0.9998595533797476,0.9995435553526912,0.9994733330992591
id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,1,30,tanh,0.0001,50,0.0001,17,0.9995686282377962,0.999403110845827,0.9995084442259752
1,1,42,tanh,0.0001,50,0.0001,16,0.9995886920406893,0.9993328885923949,0.9994557775359011
2,1,36,tanh,0.0001,50,0.0001,17,0.9995686282377962,0.9994382219725431,0.9994908886626171
3,1,40,tanh,0.0001,50,0.0001,17,0.9995836760899661,0.9994382219725431,0.9994733330992591
id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,1,20,tanh,0.0001,50,0.0001,17,0.9995084368291166,0.9993679997191109,0.9993153330290369
1,1,28,tanh,0.0001,50,0.0001,17,0.9995786601392428,0.999403110845827,0.9994733330992591
2,1,32,tanh,0.0001,50,0.0001,16,0.9995786601392428,0.999403110845827,0.9994382219725431
id,hidden_layers,architecture,activation,alpha,batch_size,learning_rate,iterations,train_score,val_score,test_score
0,1,30,tanh,0.0001,50,0.0001,17,0.9995686282377962,0.999403110845827,0.9995084442259752
1,1,30,tanh,0.0001,75,0.0001,18,0.9995786601392428,0.999403110845827,0.9994908886626171
2,1,30,tanh,0.0001,100,0.0001,19,0.9995786601392428,0.9993328885923949,0.9995084442259752
3,1,30,tanh,0.0001,150,0.0001,21,0.9995736441885195,0.9993328885923949,0.9994382219725431
4,1,30,tanh,0.0001,200,0.0001,23,0.9995435484841797,0.9993679997191109,0.999403110845827
id,hidden_layers,architecture,activation,solver,batch_size,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,1,30,tanh,sgd,100,0.01,adaptive,82,0.9995937079914127,0.9994382219725431,0.9995084442259752
1,1,30,tanh,sgd,100,0.001,adaptive,77,0.9994733251740535,0.9993679997191109,0.9993504441557529
2,1,30,tanh,sgd,100,0.0001,adaptive,82,0.9993679902088642,0.9992977774656788,0.9991748885221726
